""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Jul 14, 2026"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,236786,57754,3165551,283269,1988310,1558376,1862244,2187395,2269314,763585,1259925,1109923,9981922,6760509
DII,76373,10960,356748,4248154,6095,32414,830,154,4291,35740,398700,11704,511661,4670502
FII,26671,292136,3783940,3237702,425667,815790,604801,317466,238754,366432,383025,231459,5657254,5066589
Pro,48801,27781,964424,501538,716728,723668,668925,625233,1093582,1112376,1564291,925047,4659579,4312815
TOTAL,388631,388631,8270663,8270663,3136800,3130248,3136800,3130248,3605941,2278133,3605941,2278133,20810416,20810416
