""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Jul 15, 2026"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,230456,57864,3180859,296919,2468399,1859909,2356107,2510574,2376193,799482,1304567,1144374,10915298,7670405
DII,76670,10920,379348,4242463,5990,32404,800,274,6015,35447,405655,11877,535874,4671989
FII,26357,289069,3770340,3252827,454643,894399,684037,393471,247095,381573,402141,240518,5774407,5262063
Pro,52300,27930,998927,537265,880391,801196,768480,683589,1115287,1136413,1632227,956146,4984514,4605637
TOTAL,385783,385783,8329474,8329474,3809423,3587908,3809423,3587908,3744590,2352915,3744590,2352915,22210093,22210093
